,Arists,Date,Entry,Peak,Song,Weeks
359,PANIC! AT THE DISCO,4/7/2018,60,60,Say Amen (Saturday Night),2
363,SHAWN MENDES,4/7/2018,64,64,Lost In Japan,1
369,FAMOUS DEX,4/7/2018,70,29,Japan,3
385,MORGAN WALLEN featuring FLORIDA GEORGIA LINE,4/7/2018,86,83,Up Down,3
386,KEALA SETTLE & THE GREATEST SHOWMAN ENSEMBLE,4/7/2018,87,87,This Is Me,1
394,DARIUS RUCKER,4/7/2018,95,90,For The First Time,3
395,YBN NAHMIR,4/7/2018,96,96,Rubbin Off The Paint,1
398,DANIEL CAESAR featuring KALI UCHIS,4/7/2018,99,99,Get You,2
399,ALICE MERTON,4/7/2018,100,84,No Roots,3
307,LIL DICKY featuring CHRIS BROWN,3/31/2018,9,8,Freaky Friday,4
321,SHAWN MENDES,3/31/2018,72,22,In My Blood,4
347,XXXTENTACION,3/31/2018,35,35,Moonlight,4
372,LUKE COMBS,3/31/2018,84,67,One Number Away,4
373,DAN + SHAY,3/31/2018,87,66,Tequila,4
377,FOSTER THE PEOPLE,3/31/2018,86,72,Sit Next To Me,4
379,JHENE AIKO featurning SWAE LEE or RAE SREMMURD,3/31/2018,91,74,Sativa,4
391,CHRIS BROWN,3/31/2018,94,88,Tempo,3
393,OZUNA x CARDI B,3/31/2018,98,94,La Modelo,3
396,XXXTENTACION,3/31/2018,67,67,The Remedy For A Broken Heart (Why Am I So In Love),2
351,TAYLOR SWIFT,3/24/2018,84,46,Delicate,5
364,BAD WOLVES,3/24/2018,54,54,Zombie,5
374,LIL YACHTY featuring NBA YOUNGBOY,3/24/2018,63,63,NBAYoungboat,4
308,XXXTENTACION,3/17/2018,17,7,Sad!,6
337,RAE SREMMURD & JUICY J,3/17/2018,76,34,Powerglide,6
338,XXXTENTACION,3/17/2018,47,37,Changes,6
350,NICKY JAM x J BALVIN,3/17/2018,80,47,X,6
354,MEGHAN TRAINOR,3/17/2018,46,46,No Excuses,6
365,"DJ KHALED featuring JAY Z, FUTURE & BEYONCE",3/17/2018,22,22,Top Off,6
366,LOGIC & MARSHMELLO,3/17/2018,43,29,Everyday,6
382,BLAKE SHELTON,3/17/2018,99,81,I Lived It,6
303,POST MALONE featuring TY DOLLA $IGN,3/10/2018,2,2,Psycho,7
356,6IX9INE,3/10/2018,60,50,Billy,7
380,HIGH VALLEY,3/10/2018,96,79,She's With Me,7
384,LOGIC,3/10/2018,22,22,44 More,5
392,BLAC YOUNGSTA,3/10/2018,81,73,Booty,5
397,TRIPPIE REDD featuring TRAVIS SCOTT,3/10/2018,82,82,Dark Knight Dummo,5
242,KHALID & NORMANI,3/3/2018,43,43,Love Lies,8
292,DANIEL CAESAR featuring KALI UCHIS,3/3/2018,93,93,Get You,3
293,MALUMA x NEGO DO BOREL,3/3/2018,94,93,Corazon,3
296,YBN NAHMIR,3/3/2018,97,85,Rubbin Off The Paint,3
298,KEITH URBAN,3/3/2018,99,99,Female,1
299,BECKY G featuring BAD BUNNY,3/3/2018,100,97,Mayores,2
348,KHALID & NORMANI,3/3/2018,43,43,Love Lies,8
204,BLOCBOY JB featuring DRAKE,2/24/2018,6,5,Look Alive,9
254,"SCHOOLBOY Q, 2 CHAINZ & SAUDI",2/24/2018,49,49,X,5
257,MARSHMELLO & ANNE-MARIE,2/24/2018,72,25,Friends,9
264,SOB x RBE,2/24/2018,67,65,Paramedic!,4
267,KHALID & SWAE LEE,2/24/2018,63,63,The Ways,3
268,RICH THE KID,2/24/2018,62,13,Plug Walk,9
278,TANK,2/24/2018,97,78,When We,9
282,KENDRICK LAMAR & TRAVIS SCOTT,2/24/2018,71,71,Big Shot,2
289,LAUV,2/24/2018,96,73,I Like Me Better,9
291,LIAM PAYNE & RITA ORA,2/24/2018,76,76,For You (Fifty Shades Freed),2
305,BLOCBOY JB featuring DRAKE,2/24/2018,6,5,Look Alive,9
317,RICH THE KID,2/24/2018,62,13,Plug Walk,9
329,MARSHMELLO & ANNE-MARIE,2/24/2018,72,25,Friends,9
375,LAUV,2/24/2018,96,73,I Like Me Better,9
381,TANK,2/24/2018,97,78,When We,9
208,THE WEEKND & KENDRICK LAMAR,2/17/2018,7,7,Pray For Me,10
256,DADDY YANKEE,2/17/2018,81,50,Dura,10
259,IMAGINE DRAGONS,2/17/2018,87,22,Whatever It Takes,10
274,DEREZ DE'SHON,2/17/2018,90,61,Hardaway,10
276,JORDAN DAVIS,2/17/2018,94,50,Singles You Up,10
279,BRETT ELDREDGE,2/17/2018,93,65,The Long Way,10
285,JACQUEES x DEJ LOAF,2/17/2018,92,86,At The Club,7
294,PLIES,2/17/2018,99,95,Rock,4
311,THE WEEKND & KENDRICK LAMAR,2/17/2018,7,7,Pray For Me,10
322,IMAGINE DRAGONS,2/17/2018,87,22,Whatever It Takes,10
349,JORDAN DAVIS,2/17/2018,94,50,Singles You Up,10
352,DADDY YANKEE,2/17/2018,81,50,Dura,10
360,DEREZ DE'SHON,2/17/2018,90,61,Hardaway,10
367,BRETT ELDREDGE,2/17/2018,93,65,The Long Way,10
212,"ZEDD, MAREN MORRIS & GREY",2/10/2018,23,6,The Middle,11
229,JUSTIN TIMBERLAKE featuring CHRIS STAPLETON,2/10/2018,9,9,Say Something,11
241,JASON ALDEAN,2/10/2018,28,28,You Make It Easy,11
245,RICH THE KID featuring KENDRICK LAMAR,2/10/2018,75,41,New Freezer,11
251,MIGOS featuring DRAKE,2/10/2018,18,10,Walk It Talk It,11
255,OZUNA,2/10/2018,92,49,El Farsante,11
261,MIGOS,2/10/2018,36,36,Narcos,9
262,LUKE BRYAN,2/10/2018,94,46,Most People Are Good,11
287,MIGOS featuring POST MALONE,2/10/2018,52,52,Notice Me,5
306,"ZEDD, MAREN MORRIS & GREY",2/10/2018,23,6,The Middle,11
314,MIGOS featuring DRAKE,2/10/2018,18,10,Walk It Talk It,11
332,JUSTIN TIMBERLAKE featuring CHRIS STAPLETON,2/10/2018,9,9,Say Something,11
333,JASON ALDEAN,2/10/2018,28,28,You Make It Easy,11
341,RICH THE KID featuring KENDRICK LAMAR,2/10/2018,75,41,New Freezer,11
345,LUKE BRYAN,2/10/2018,94,46,Most People Are Good,11
362,OZUNA,2/10/2018,92,49,El Farsante,11
388,MIGOS,2/10/2018,36,36,Narcos,9
100,DRAKE,2/3/2018,1,1,God's Plan,12
106,DRAKE,2/3/2018,7,7,Diplomatic Immunity,3
155,BAZZI,2/3/2018,56,11,Mine,12
164,THE CHAINSMOKERS,2/3/2018,65,65,Sick Boy,3
170,JUSTIN TIMBERLAKE,2/3/2018,71,71,Supplies,1
181,NF,2/3/2018,82,82,No Name,1
187,MAROON 5,2/3/2018,88,26,Wait,12
198,PLIES,2/3/2018,99,99,Rock,1
200,DRAKE,2/3/2018,1,1,God's Plan,12
217,BAZZI,2/3/2018,56,11,Mine,12
238,MAROON 5,2/3/2018,88,26,Wait,12
300,DRAKE,2/3/2018,1,1,God's Plan,12
310,BAZZI,2/3/2018,56,11,Mine,12
325,MAROON 5,2/3/2018,88,26,Wait,12
142,"6IX9INE, FETTY WAP & A BOOGIE WIT DA HOODIE",1/27/2018,64,43,Keke,8
150,YOUNGBOY NEVER BROKE AGAIN,1/27/2018,71,31,Outside Today,13
182,"JAY ROCK, KENDRICK LAMAR, FUTURE & JAMES BLAKE",1/27/2018,91,21,King's Dead,13
191,DUA LIPA,1/27/2018,92,54,IDGAF,13
222,"JAY ROCK, KENDRICK LAMAR, FUTURE & JAMES BLAKE",1/27/2018,91,21,King's Dead,13
234,YOUNGBOY NEVER BROKE AGAIN,1/27/2018,71,31,Outside Today,13
281,"6IX9INE, FETTY WAP & A BOOGIE WIT DA HOODIE",1/27/2018,64,43,Keke,8
295,DUA LIPA,1/27/2018,92,54,IDGAF,13
330,"JAY ROCK, KENDRICK LAMAR, FUTURE & JAMES BLAKE",1/27/2018,91,21,King's Dead,13
339,YOUNGBOY NEVER BROKE AGAIN,1/27/2018,71,31,Outside Today,13
353,DUA LIPA,1/27/2018,92,54,IDGAF,13
132,JUSTIN TIMBERLAKE,1/20/2018,9,9,Filthy,6
153,KENDRICK LAMAR & SZA,1/20/2018,43,7,All The Stars,14
156,LIL SKIES featuring LANDON CURE,1/20/2018,85,55,Nowadays,13
173,LIL SKIES featuring LANDON CURE,1/20/2018,98,69,Red Roses,14
190,P!NK,1/20/2018,95,78,Beautiful Trauma,13
206,KENDRICK LAMAR & SZA,1/20/2018,43,7,All The Stars,14
272,LIL SKIES featuring LANDON CURE,1/20/2018,85,55,Nowadays,13
277,LIL SKIES featuring LANDON CURE,1/20/2018,98,69,Red Roses,14
280,P!NK,1/20/2018,95,78,Beautiful Trauma,13
315,KENDRICK LAMAR & SZA,1/20/2018,43,7,All The Stars,14
368,LIL SKIES featuring LANDON CURE,1/20/2018,98,69,Red Roses,14
383,LIL SKIES featuring LANDON CURE,1/20/2018,85,55,Nowadays,13
387,P!NK,1/20/2018,95,78,Beautiful Trauma,13
104,BRUNO MARS & CARDI B,1/13/2018,35,3,Finesse,15
136,CAMILA CABELLO,1/13/2018,71,14,Never Be The Same,15
165,KEALA SETTLE & THE GREATEST SHOWMAN ENSEMBLE,1/13/2018,83,58,This Is Me,11
166,KANE BROWN,1/13/2018,82,28,Heaven,15
174,WALK THE MOON,1/13/2018,80,65,One Foot,8
176,ZAC EFRON & ZENDAYA,1/13/2018,85,70,Rewrite The Stars,7
180,DEVIN DAWSON,1/13/2018,87,52,All On Me,15
184,CHRIS STAPLETON,1/13/2018,91,45,Broken Halos,15
188,"SOFI TUKKER featuring NERVO, THE KNOCKS & ALISA UENO",1/13/2018,100,81,Best Friend,5
192,MALUMA x NEGO DO BOREL,1/13/2018,92,87,Corazon,6
194,"HUGH JACKMAN, KEALA SETTLE, ZAC EFRON, ZENDAYA & THE GREATES",1/13/2018,95,88,The Greatest Show,4
195,LOREN ALLRED,1/13/2018,88,88,Never Enough,4
199,KEITH URBAN,1/13/2018,93,93,Female,4
202,BRUNO MARS & CARDI B,1/13/2018,35,3,Finesse,15
227,CAMILA CABELLO,1/13/2018,71,14,Never Be The Same,15
252,CHRIS STAPLETON,1/13/2018,91,45,Broken Halos,15
253,KANE BROWN,1/13/2018,82,28,Heaven,15
269,DEVIN DAWSON,1/13/2018,87,52,All On Me,15
284,KEALA SETTLE & THE GREATEST SHOWMAN ENSEMBLE,1/13/2018,83,58,This Is Me,11
297,WALK THE MOON,1/13/2018,80,65,One Foot,8
302,BRUNO MARS & CARDI B,1/13/2018,35,3,Finesse,15
313,CAMILA CABELLO,1/13/2018,71,14,Never Be The Same,15
327,KANE BROWN,1/13/2018,82,28,Heaven,15
357,CHRIS STAPLETON,1/13/2018,91,45,Broken Halos,15
361,DEVIN DAWSON,1/13/2018,87,52,All On Me,15
119,CARDI B featuring 21 SAVAGE,1/6/2018,14,14,Bartier Cardi,16
151,MIGOS,1/6/2018,94,8,Stir Fry,16
175,OZUNA x CARDI B,1/6/2018,52,52,La Modelo,11
209,MIGOS,1/6/2018,94,8,Stir Fry,16
225,CARDI B featuring 21 SAVAGE,1/6/2018,14,14,Bartier Cardi,16
271,OZUNA x CARDI B,1/6/2018,52,52,La Modelo,11
312,MIGOS,1/6/2018,94,8,Stir Fry,16
346,CARDI B featuring 21 SAVAGE,1/6/2018,14,14,Bartier Cardi,16
10,EMINEM featuring ED SHEERAN,1/3/2018,11,11,River,13
48,JOSE FELICIANO,1/3/2018,49,49,Feliz Navidad,1
49,BOBBY HELMS,1/3/2018,50,50,Jingle Bell Rock,1
66,ADDISON AGEN,1/3/2018,67,67,Tennessee Rain,1
67,TAY-K,1/3/2018,68,64,The Race,2
68,CHLOE KOHANSKI,1/3/2018,69,69,Wish I Didn't Love You,1
81,QUAVO & LIL YACHTY,1/3/2018,82,74,Ice Tray,6
83,RED MARLOW,1/3/2018,84,84,I Pray,1
86,EMINEM featuring BEYONCE,1/3/2018,87,87,Walk On Water,2
89,"MACHINE GUN KELLY, X AMBASSADORS & BEBE REXHA",1/3/2018,90,90,Home,4
91,EMINEM,1/3/2018,92,92,Believe,1
133,EMINEM featuring ED SHEERAN,1/3/2018,11,11,River,13
189,QUAVO & LIL YACHTY,1/3/2018,82,74,Ice Tray,6
233,EMINEM featuring ED SHEERAN,1/3/2018,11,11,River,13
42,WHAM!,12/30/2017,44,43,Last Christmas,2
70,LIL BABY,12/30/2017,77,71,My Dawg,7
79,YOUNGBOY NEVER BROKE AGAIN,12/30/2017,93,61,No Smoke,17
93,TRIPPIE REDD featuring TRAVIS SCOTT,12/30/2017,72,72,Dark Knight Dummo,2
97,CAMILA CABELLO,12/30/2017,61,61,Never Be The Same,2
99,KELSEA BALLERINI,12/30/2017,99,68,Legends,11
160,YOUNGBOY NEVER BROKE AGAIN,12/30/2017,93,61,No Smoke,17
186,KELSEA BALLERINI,12/30/2017,99,68,Legends,11
196,LIL BABY,12/30/2017,77,71,My Dawg,7
273,YOUNGBOY NEVER BROKE AGAIN,12/30/2017,93,61,No Smoke,17
286,KELSEA BALLERINI,12/30/2017,99,68,Legends,11
378,YOUNGBOY NEVER BROKE AGAIN,12/30/2017,93,61,No Smoke,17
14,G-EAZY & HALSEY,12/23/2017,21,14,Him & I,19
29,BRENDA LEE,12/23/2017,37,30,Rockin' Around The Christmas Tree,4
31,ANDY WILLIAMS,12/23/2017,45,32,It's The Most Wonderful Time Of The Year,4
36,NAT KING COLE,12/23/2017,42,37,The Christmas Song (Merry Christmas To You),4
37,BURL IVES,12/23/2017,47,38,A Holly Jolly Christmas,4
53,6IX9INE,12/23/2017,61,50,Kooda,8
62,THOMAS RHETT,12/23/2017,97,30,Marry Me,19
72,DEMI LOVATO,12/23/2017,53,53,Tell Me You Love Me,19
92,YO GOTTI,12/23/2017,93,90,Juice,6
95,SCOTTY McCREERY,12/23/2017,98,44,Five More Minutes,19
115,G-EAZY & HALSEY,12/23/2017,21,14,Him & I,19
135,THOMAS RHETT,12/23/2017,97,30,Marry Me,19
163,SCOTTY McCREERY,12/23/2017,98,44,Five More Minutes,19
178,DEMI LOVATO,12/23/2017,53,53,Tell Me You Love Me,19
185,6IX9INE,12/23/2017,61,50,Kooda,8
213,G-EAZY & HALSEY,12/23/2017,21,14,Him & I,19
235,THOMAS RHETT,12/23/2017,97,30,Marry Me,19
243,SCOTTY McCREERY,12/23/2017,98,44,Five More Minutes,19
270,DEMI LOVATO,12/23/2017,53,53,Tell Me You Love Me,19
324,G-EAZY & HALSEY,12/23/2017,21,14,Him & I,19
334,THOMAS RHETT,12/23/2017,97,30,Marry Me,19
358,DEMI LOVATO,12/23/2017,53,53,Tell Me You Love Me,19
371,SCOTTY McCREERY,12/23/2017,98,44,Five More Minutes,19
8,MARIAH CAREY,12/16/2017,21,9,All I Want For Christmas Is You,5
63,KODAK BLACK featuring LIL WAYNE,12/16/2017,52,52,Codeine Dreaming,14
78,BTS featuring DESIIGNER,12/16/2017,28,28,MIC Drop,10
98,DEVIN DAWSON,12/16/2017,93,91,All On Me,4
171,KODAK BLACK featuring LIL WAYNE,12/16/2017,52,52,Codeine Dreaming,14
183,BTS featuring DESIIGNER,12/16/2017,28,28,MIC Drop,10
288,KODAK BLACK featuring LIL WAYNE,12/16/2017,52,52,Codeine Dreaming,14
41,TAYLOR SWIFT featuring ED SHEERAN & FUTURE,12/9/2017,86,18,End Game,14
74,LUIS FONSI & DEMI LOVATO,12/9/2017,47,47,Echame La Culpa,20
88,OLD DOMINION,12/9/2017,99,51,Written In The Sand,20
94,TANK,12/9/2017,92,86,When We,5
129,TAYLOR SWIFT featuring ED SHEERAN & FUTURE,12/9/2017,86,18,End Game,14
159,OLD DOMINION,12/9/2017,99,51,Written In The Sand,20
167,LUIS FONSI & DEMI LOVATO,12/9/2017,47,47,Echame La Culpa,20
258,OLD DOMINION,12/9/2017,99,51,Written In The Sand,20
275,LUIS FONSI & DEMI LOVATO,12/9/2017,47,47,Echame La Culpa,20
290,TAYLOR SWIFT featuring ED SHEERAN & FUTURE,12/9/2017,86,18,End Game,14
389,LUIS FONSI & DEMI LOVATO,12/9/2017,47,47,Echame La Culpa,20
390,OLD DOMINION,12/9/2017,99,51,Written In The Sand,20
10713,EMINEM featuring BEYONCE,12/2/2017,14,14,Walk On Water,3
10740,KENDRICK LAMAR featuring ZACARI,12/2/2017,41,11,Love.,20
10757,6IX9INE,12/2/2017,58,12,Gummo,20
10764,NAV featuring LIL UZI VERT,12/2/2017,65,64,Wanted You,6
10768,KEITH URBAN,12/2/2017,69,69,Female,1
10792,LIL XAN,12/2/2017,93,64,Betrayed,20
10795,G-EAZY,12/2/2017,96,96,The Plan,1
10796,FAMOUS DEX featuring A$AP ROCKY,12/2/2017,97,54,Pick It Up,20
10798,NIALL HORAN,12/2/2017,99,86,Too Much To Ask,9
13,6IX9INE,12/2/2017,58,12,Gummo,20
21,KENDRICK LAMAR featuring ZACARI,12/2/2017,41,11,Love.,20
73,FAMOUS DEX featuring A$AP ROCKY,12/2/2017,97,54,Pick It Up,20
76,LIL XAN,12/2/2017,93,64,Betrayed,20
84,NAV featuring LIL UZI VERT,12/2/2017,65,64,Wanted You,6
96,NIALL HORAN,12/2/2017,99,86,Too Much To Ask,9
114,KENDRICK LAMAR featuring ZACARI,12/2/2017,41,11,Love.,20
117,6IX9INE,12/2/2017,58,12,Gummo,20
157,FAMOUS DEX featuring A$AP ROCKY,12/2/2017,97,54,Pick It Up,20
172,LIL XAN,12/2/2017,93,64,Betrayed,20
214,KENDRICK LAMAR featuring ZACARI,12/2/2017,41,11,Love.,20
224,6IX9INE,12/2/2017,58,12,Gummo,20
260,FAMOUS DEX featuring A$AP ROCKY,12/2/2017,97,54,Pick It Up,20
265,LIL XAN,12/2/2017,93,64,Betrayed,20
342,KENDRICK LAMAR featuring ZACARI,12/2/2017,41,11,Love.,20
355,6IX9INE,12/2/2017,58,12,Gummo,20
370,FAMOUS DEX featuring A$AP ROCKY,12/2/2017,97,54,Pick It Up,20
376,LIL XAN,12/2/2017,93,64,Betrayed,20
10772,TAYLOR SWIFT,11/25/2017,27,27,Call It What You Want,2
10778,N*E*R*D & RIHANNA,11/25/2017,65,36,Lemon,22
10779,YBN NAHMIR,11/25/2017,79,46,Rubbin Off The Paint,13
10794,CHRIS STAPLETON,11/25/2017,92,92,Broken Halos,3
45,N*E*R*D & RIHANNA,11/25/2017,65,36,Lemon,22
54,YBN NAHMIR,11/25/2017,79,46,Rubbin Off The Paint,13
139,N*E*R*D & RIHANNA,11/25/2017,65,36,Lemon,22
168,YBN NAHMIR,11/25/2017,79,46,Rubbin Off The Paint,13
247,N*E*R*D & RIHANNA,11/25/2017,65,36,Lemon,22
335,N*E*R*D & RIHANNA,11/25/2017,65,36,Lemon,22
10714,"MIGOS, NICKI MINAJ & CARDI B",11/18/2017,14,6,MotorSport,22
10755,OFFSET & METRO BOOMIN,11/18/2017,71,13,Ric Flair Drip,24
10756,"21 SAVAGE, OFFSET & METRO BOOMIN featuring TRAVIS SCOTT",11/18/2017,57,35,Ghostface Killers,7
10767,MACKLEMORE featuring KESHA,11/18/2017,72,48,Good Old Days,19
10783,BECKY G featuring BAD BUNNY,11/18/2017,83,74,Mayores,15
10784,GARTH BROOKS,11/18/2017,90,71,Ask Me How I Know,6
10787,"21 SAVAGE, OFFSET & METRO BOOMIN featuring QUAVO",11/18/2017,74,64,Rap Saved Me,3
10793,WALKER HAYES,11/18/2017,91,62,You Broke Up With Me,18
6,"MIGOS, NICKI MINAJ & CARDI B",11/18/2017,14,6,MotorSport,22
44,OFFSET & METRO BOOMIN,11/18/2017,71,13,Ric Flair Drip,24
60,MACKLEMORE featuring KESHA,11/18/2017,72,48,Good Old Days,19
82,WALKER HAYES,11/18/2017,91,62,You Broke Up With Me,18
85,BECKY G featuring BAD BUNNY,11/18/2017,83,74,Mayores,15
110,"MIGOS, NICKI MINAJ & CARDI B",11/18/2017,14,6,MotorSport,22
138,OFFSET & METRO BOOMIN,11/18/2017,71,13,Ric Flair Drip,24
154,MACKLEMORE featuring KESHA,11/18/2017,72,48,Good Old Days,19
169,WALKER HAYES,11/18/2017,91,62,You Broke Up With Me,18
193,BECKY G featuring BAD BUNNY,11/18/2017,83,74,Mayores,15
221,"MIGOS, NICKI MINAJ & CARDI B",11/18/2017,14,6,MotorSport,22
239,OFFSET & METRO BOOMIN,11/18/2017,71,13,Ric Flair Drip,24
250,MACKLEMORE featuring KESHA,11/18/2017,72,48,Good Old Days,19
263,WALKER HAYES,11/18/2017,91,62,You Broke Up With Me,18
316,OFFSET & METRO BOOMIN,11/18/2017,71,13,Ric Flair Drip,24
344,"MIGOS, NICKI MINAJ & CARDI B",11/18/2017,14,6,MotorSport,22
10750,SELENA GOMEZ x MARSHMELLO,11/11/2017,88,20,Wolves,23
10752,BEBE REXHA & FLORIDA GEORGIA LINE,11/11/2017,61,2,Meant To Be,25
10777,POST MALONE,11/11/2017,84,50,Candy Paint,20
10788,TAYLOR SWIFT,11/11/2017,13,13,Gorgeous,4
10799,FUTURE & YOUNG THUG featuring OFFSET,11/11/2017,50,50,Patek Water,4
22,SELENA GOMEZ x MARSHMELLO,11/11/2017,88,20,Wolves,23
27,BEBE REXHA & FLORIDA GEORGIA LINE,11/11/2017,61,2,Meant To Be,25
57,POST MALONE,11/11/2017,84,50,Candy Paint,20
111,BEBE REXHA & FLORIDA GEORGIA LINE,11/11/2017,61,2,Meant To Be,25
125,SELENA GOMEZ x MARSHMELLO,11/11/2017,88,20,Wolves,23
177,POST MALONE,11/11/2017,84,50,Candy Paint,20
207,BEBE REXHA & FLORIDA GEORGIA LINE,11/11/2017,61,2,Meant To Be,25
228,SELENA GOMEZ x MARSHMELLO,11/11/2017,88,20,Wolves,23
283,POST MALONE,11/11/2017,84,50,Candy Paint,20
301,BEBE REXHA & FLORIDA GEORGIA LINE,11/11/2017,61,2,Meant To Be,25
343,SELENA GOMEZ x MARSHMELLO,11/11/2017,88,20,Wolves,23
10670,GUCCI MANE featuring THE WEEKND,11/4/2017,71,71,Curve,1
10681,CHRIS BROWN featuring FUTURE & YOUNG THUG,11/4/2017,82,82,High End,1
10683,RUSSELL DICKERSON,11/4/2017,84,49,Yours,20
10686,NF,11/4/2017,87,12,Let You Down,26
10694,GUCCI MANE featuring SLIM JXMMI & YOUNG DOLPH,11/4/2017,95,95,Stunting Ain't Nuthin,1
10695,WALKER HAYES,11/4/2017,96,96,You Broke Up With Me,1
10696,BECKY G featuring BAD BUNNY,11/4/2017,97,97,Mayores,1
10697,GARTH BROOKS,11/4/2017,98,98,Ask Me How I Know,1
10751,NF,11/4/2017,87,12,Let You Down,26
10774,RUSSELL DICKERSON,11/4/2017,84,49,Yours,20
17,NF,11/4/2017,87,12,Let You Down,26
65,RUSSELL DICKERSON,11/4/2017,84,49,Yours,20
113,NF,11/4/2017,87,12,Let You Down,26
148,RUSSELL DICKERSON,11/4/2017,84,49,Yours,20
211,NF,11/4/2017,87,12,Let You Down,26
266,RUSSELL DICKERSON,11/4/2017,84,49,Yours,20
318,NF,11/4/2017,87,12,Let You Down,26
10659,CHARLIE PUTH,10/28/2017,60,21,How Long,24
10689,MAX featuring GNASH,10/28/2017,95,20,Lights Down Low,27
10690,"QUALITY CONTROL featuring QUAVO, TAKEOFF & OFFSET",10/28/2017,97,91,Too Hotty,4
10739,CHARLIE PUTH,10/28/2017,60,21,How Long,24
10775,MAX featuring GNASH,10/28/2017,95,20,Lights Down Low,27
30,CHARLIE PUTH,10/28/2017,60,21,How Long,24
56,MAX featuring GNASH,10/28/2017,95,20,Lights Down Low,27
120,CHARLIE PUTH,10/28/2017,60,21,How Long,24
137,MAX featuring GNASH,10/28/2017,95,20,Lights Down Low,27
219,MAX featuring GNASH,10/28/2017,95,20,Lights Down Low,27
220,CHARLIE PUTH,10/28/2017,60,21,How Long,24
326,MAX featuring GNASH,10/28/2017,95,20,Lights Down Low,27
10673,HAILEE STEINFELD & ALESSO feat FLORIDA GEORGIA LINE & WATT,10/21/2017,90,40,Let Me Go,21
10684,MIGUEL featuring TRAVIS SCOTT,10/21/2017,96,29,Sky Walker,25
10691,FLORIDA GEORGIA LINE,10/21/2017,98,89,Smooth,7
10763,MIGUEL featuring TRAVIS SCOTT,10/21/2017,96,29,Sky Walker,25
10765,HAILEE STEINFELD & ALESSO feat FLORIDA GEORGIA LINE & WATT,10/21/2017,90,40,Let Me Go,21
10791,FLORIDA GEORGIA LINE,10/21/2017,98,89,Smooth,7
40,MIGUEL featuring TRAVIS SCOTT,10/21/2017,96,29,Sky Walker,25
51,HAILEE STEINFELD & ALESSO feat FLORIDA GEORGIA LINE & WATT,10/21/2017,90,40,Let Me Go,21
128,MIGUEL featuring TRAVIS SCOTT,10/21/2017,96,29,Sky Walker,25
144,HAILEE STEINFELD & ALESSO feat FLORIDA GEORGIA LINE & WATT,10/21/2017,90,40,Let Me Go,21
236,MIGUEL featuring TRAVIS SCOTT,10/21/2017,96,29,Sky Walker,25
249,HAILEE STEINFELD & ALESSO feat FLORIDA GEORGIA LINE & WATT,10/21/2017,90,40,Let Me Go,21
10628,POST MALONE,10/14/2017,65,16,I Fall Apart,29
10660,A$AP FERG,10/14/2017,98,26,Plain Jane,25
10675,POST MALONE,10/14/2017,100,76,Go Flex,10
10677,BRETT YOUNG,10/14/2017,95,46,Like I Loved You,20
10679,CHRIS YOUNG,10/14/2017,94,60,Losing Sleep,20
10692,ERIC CHURCH,10/14/2017,97,56,Round Here Buzz,19
10724,POST MALONE,10/14/2017,65,16,I Fall Apart,29
10753,A$AP FERG,10/14/2017,98,26,Plain Jane,25
10761,BRETT YOUNG,10/14/2017,95,46,Like I Loved You,20
10773,CHRIS YOUNG,10/14/2017,94,60,Losing Sleep,20
10776,ERIC CHURCH,10/14/2017,97,56,Round Here Buzz,19
10797,POST MALONE,10/14/2017,100,76,Go Flex,10
15,POST MALONE,10/14/2017,65,16,I Fall Apart,29
25,A$AP FERG,10/14/2017,98,26,Plain Jane,25
55,BRETT YOUNG,10/14/2017,95,46,Like I Loved You,20
69,ERIC CHURCH,10/14/2017,97,56,Round Here Buzz,19
77,CHRIS YOUNG,10/14/2017,94,60,Losing Sleep,20
118,POST MALONE,10/14/2017,65,16,I Fall Apart,29
126,A$AP FERG,10/14/2017,98,26,Plain Jane,25
161,CHRIS YOUNG,10/14/2017,94,60,Losing Sleep,20
162,BRETT YOUNG,10/14/2017,95,46,Like I Loved You,20
179,ERIC CHURCH,10/14/2017,97,56,Round Here Buzz,19
218,POST MALONE,10/14/2017,65,16,I Fall Apart,29
237,A$AP FERG,10/14/2017,98,26,Plain Jane,25
328,POST MALONE,10/14/2017,65,16,I Fall Apart,29
10501,POST MALONE featuring 21 SAVAGE,10/7/2017,2,1,Rockstar,30
10565,NIALL HORAN,10/7/2017,66,66,Too Much To Ask,1
10566,GUCCI MANE featuring THE WEEKND,10/7/2017,67,67,Curve,2
10584,BTS,10/7/2017,85,67,DNA,4
10588,ED SHEERAN,10/7/2017,89,1,Perfect,30
10591,"LORDE featuring KHALID, POST MALONE & SZA",10/7/2017,92,92,Homemade Dynamite,1
10600,POST MALONE featuring 21 SAVAGE,10/7/2017,2,1,Rockstar,30
10617,ED SHEERAN,10/7/2017,89,1,Perfect,30
10700,POST MALONE featuring 21 SAVAGE,10/7/2017,2,1,Rockstar,30
10706,ED SHEERAN,10/7/2017,89,1,Perfect,30
0,ED SHEERAN,10/7/2017,89,1,Perfect,30
1,POST MALONE featuring 21 SAVAGE,10/7/2017,2,1,Rockstar,30
101,ED SHEERAN,10/7/2017,89,1,Perfect,30
103,POST MALONE featuring 21 SAVAGE,10/7/2017,2,1,Rockstar,30
201,ED SHEERAN,10/7/2017,89,1,Perfect,30
